"","ID","List","Type","Pair.x","Word","Correct.x","Confidence.x","Tiredness","Enjoyment","Pair.y","Correct.y","Confidence.y","Select1","Select2","Select3"
"1",2433533,1,"MM",2,"cavy",1,5,7,6,2,1,6,FALSE,FALSE,FALSE
"2",2433533,1,"MM",3,"perste",1,5,7,6,3,1,6,FALSE,FALSE,FALSE
"3",2433533,1,"MM",5,"muden",1,6,7,6,5,0,6,FALSE,FALSE,FALSE
"4",2433533,1,"MM",9,"pidekin",1,6,8,6,9,1,6,FALSE,FALSE,FALSE
"5",2433533,1,"MM",20,"bipin",0,4,7,6,20,1,5,FALSE,FALSE,FALSE
"6",2433533,1,"MM",24,"fofry",0,6,8,5,24,1,5,FALSE,FALSE,FALSE
"7",2433533,1,"MM",25,"ruter",1,5,7,6,25,1,6,FALSE,FALSE,FALSE
"8",2433533,1,"MM",30,"fupon",1,7,8,6,30,0,4,FALSE,FALSE,FALSE
"9",2433533,1,"MM",36,"tuyete",1,6,8,6,36,1,6,FALSE,FALSE,FALSE
"10",2433533,1,"MM",37,"fucend",1,6,8,6,37,1,6,FALSE,FALSE,FALSE
"11",2433533,1,"MM",41,"haddan",1,6,6,6,41,0,5,FALSE,FALSE,FALSE
"12",2433533,1,"MM",43,"pendee",1,7,7,7,43,0,6,FALSE,FALSE,FALSE
"13",2433533,1,"MM",45,"tanay",1,7,6,7,45,0,5,FALSE,FALSE,FALSE
"14",2433533,1,"MM",46,"mumic",1,7,6,6,46,1,5,FALSE,FALSE,FALSE
"15",2433533,1,"MM",50,"saper",1,7,8,6,50,1,5,FALSE,FALSE,FALSE
"16",2433533,1,"MM",54,"meapon",0,5,7,6,54,0,6,FALSE,FALSE,FALSE
"17",2433533,1,"MM",56,"counger",1,7,8,6,56,0,5,FALSE,FALSE,FALSE
"18",2433533,1,"MM",59,"hapel",0,5,8,6,59,0,6,FALSE,FALSE,FALSE
"19",2433533,1,"MM",63,"bemble",0,5,8,6,63,0,5,FALSE,FALSE,FALSE
"20",2433533,1,"MM",65,"miggir",1,5,7,5,65,0,5,FALSE,FALSE,FALSE
"21",2433533,1,"MP",1,"winpen",1,9,8,6,1,0,6,FALSE,FALSE,FALSE
"22",2433533,1,"MP",4,"domine",1,7,7,6,4,1,5,FALSE,FALSE,FALSE
"23",2433533,1,"MP",7,"mizar",1,7,7,7,7,0,5,FALSE,FALSE,FALSE
"24",2433533,1,"MP",14,"oser",1,7,7,6,14,0,6,FALSE,FALSE,FALSE
"25",2433533,1,"MP",19,"furets",1,7,7,6,19,0,5,FALSE,FALSE,FALSE
"26",2433533,1,"MP",23,"peney",0,5,6,6,23,0,5,FALSE,FALSE,FALSE
"27",2433533,1,"MP",27,"teson",1,5,7,6,27,0,6,FALSE,FALSE,FALSE
"28",2433533,1,"MP",32,"goler",1,5,6,6,32,0,5,FALSE,FALSE,FALSE
"29",2433533,1,"MP",34,"lonay",0,6,7,6,34,0,3,FALSE,FALSE,FALSE
"30",2433533,1,"MP",39,"bovy",1,7,7,6,39,1,6,FALSE,FALSE,FALSE
"31",2433533,1,"MP",47,"vazan",1,8,8,7,47,0,6,FALSE,FALSE,FALSE
"32",2433533,1,"MP",48,"cyche",1,8,7,7,48,0,6,FALSE,FALSE,FALSE
"33",2433533,1,"MP",49,"rodder",0,6,7,6,49,0,2,FALSE,FALSE,FALSE
"34",2433533,1,"MP",51,"forem",1,5,6,6,51,1,6,FALSE,FALSE,FALSE
"35",2433533,1,"MP",53,"reebin",0,7,7,6,53,1,6,FALSE,FALSE,FALSE
"36",2433533,1,"MP",55,"heco",1,7,6,6,55,0,5,FALSE,FALSE,FALSE
"37",2433533,1,"MP",61,"raymive",1,7,7,6,61,0,6,FALSE,FALSE,FALSE
"38",2433533,1,"MP",62,"ceakie",1,7,7,6,62,0,6,FALSE,FALSE,FALSE
